Days,c,p50,L,ps
0,0.5540465706277691,0.6301519633057503,0.7262460134618732,0.8428847025353551
1,0.5321499252132521,0.6430181533404564,0.7279668666425161,0.9730722322786884
2,0.6114420212002645,0.6359706557132113,0.7143369168340992,0.9019998326144768
3,0.5846029770493232,0.6898941007729675,0.7304267488019254,0.9064499668340592
4,0.6037550751775368,0.6670079734364763,0.7580703992664977,0.9457392476419304
5,0.5740927573854798,0.5942322973224822,0.6852848333143589,0.9748620718110272
6,0.6047672101111222,0.6678153032323987,0.7234583950188743,0.9157018472215861
7,0.6289803420519173,0.7195367556631549,0.7942028289497579,1.0171257982382138
8,0.6263809398332071,0.6513767430892514,0.7838180163167924,1.0089244561281627
9,0.5130355680883044,0.619867881174483,0.725410505316188,0.9137952932054975
10,0.5645208063646392,0.6231626831722082,0.7699423633932587,0.9640629104341312
11,0.6088845434865275,0.6993742854508874,0.7591634009688528,0.918371134343087
12,0.5851577181419859,0.7700795381179452,0.7661515277569538,0.989070019318394
13,0.5588165382894047,0.6381290918028684,0.7311527164320321,0.871314172296514
14,0.6028618369102016,0.7140344461607241,0.7610018301023816,1.0000148803209699
15,0.5962457811817523,0.6610273611368538,0.7370394949686758,0.9669166152275672
16,0.5822417452650106,0.6691084457710124,0.7247644952539334,0.8765926423519278
17,0.6350364110060402,0.6298044586149169,0.7516750041876045,1.0034008394374938
18,0.5977006916165054,0.655181237500271,0.7387437179123314,0.9117775831232293
19,0.5844151945637944,0.6680113072299748,0.7487090340089088,0.9321436923838453
20,0.612776016430955,0.7152956873922679,0.7826613091945425,0.9779979860031314
21,0.6233340910593943,0.6607508434284933,0.75980224476515,0.9204437107552477
22,0.6075544082989263,0.6985967962640431,0.7423623698987893,0.9287825271053433
23,0.5960102430554498,0.6180410022794813,0.7238747955877274,0.8952282127873654
24,0.5257278980164634,0.6368572164226477,0.7178041741594923,0.8469573427628652
25,0.6072293574294106,0.6888115011097001,0.7425736844857966,0.9097622189641862
26,0.6366907274647786,0.6398429247243248,0.6959231980041966,0.9014636742233545
27,0.6002878782807812,0.6217848886401048,0.7219450259759183,0.8960306474873267
28,0.5781122802422114,0.6610134475111126,0.7500644524837312,0.8995627553468041
29,0.6161799093747057,0.5670871845264722,0.7398841490714061,0.8954951059147805
30,0.565767771567716,0.6620919984092088,0.7268087927126681,0.926371566460183
31,0.5979795795302012,0.67236463247916,0.7698026338446896,0.9458938901479385
32,0.5954444837213703,0.6645299811999983,0.7135405330913899,0.8662544573573425
33,0.6259804142045265,0.6489684286782991,0.7482066297941466,0.9257181002435999
34,0.5704165735177537,0.6594545483991625,0.7003003196505657,0.9271690953136213
35,0.5609618921991909,0.6358179473526091,0.709143583065019,0.8676065210126576
36,0.5674340744991286,0.671635569836083,0.6592385706449228,0.9226329415882247
37,0.5640484384705825,0.606989998793747,0.7390473881061251,0.910281210860774
38,0.5979851676539722,0.672051161148713,0.769632283673102,0.9456325039880911
39,0.5574365992410112,0.6168123286079837,0.7579558382199343,0.9034166813835092
40,0.6334966161324305,0.615623376126233,0.6880789563416055,0.9008481800150037
41,0.5993899541267415,0.6800178538038083,0.712864492844835,0.857717172377328
42,0.6267588978023604,0.6430028095153277,0.7245365515089232,0.9385801833448663
43,0.6253571754101295,0.6300912373474281,0.7055524818325009,0.967785824492998
44,0.6639940714685643,0.6300290816564936,0.7194166579580342,0.9798887684587048
45,0.6185921149463028,0.6427653066132639,0.7278984298753814,0.9022044822395116
46,0.605552995274114,0.6411725569828068,0.71883559266943,0.913488652200681
47,0.579782470015839,0.630787368106274,0.7587814158086789,0.8885330312304839
48,0.6330967951492148,0.6154449401126127,0.6884874963277897,0.9004238323893535
49,0.5507919094929247,0.6358537372552686,0.6847438836288785,0.8678524539722444
50,0.6288249423880872,0.6436670245143209,0.7446540787602781,0.9422878233296557
51,0.6576720696151487,0.702626936405048,0.7948867185620823,0.9796077643670676
52,0.6468714942373451,0.7045047012813405,0.8028745861643655,0.9542180757403543
53,0.6212291229945899,0.5994383632844654,0.6908388805874695,0.8985282762011698
54,0.636841494072301,0.6394602080839519,0.6959303806356641,0.9011757772429936
55,0.5798030245966825,0.6308226694901866,0.7587494228200484,0.8885366640330182
56,0.5991133154266645,0.6726482372887345,0.6943701197923172,0.949470016261814
57,0.6560950810797981,0.6473763485931726,0.7240108619590878,0.9497279652330582
58,0.5818689621384417,0.6369333263012268,0.678315128124896,0.8701954902377078
59,0.5965944459616279,0.6091119487049677,0.6727917330039623,0.9152203341486392
